dataset,algorithm,rfm_segment,ndcg,recall,n_users
MovieLens 20M,Popularity,Loyal,0.1471596185455996,0.026587346553616525,776
MovieLens 20M,Popularity,Potential,0.13689372541258185,0.0289449194021489,243
MovieLens 20M,SequentialTransition,At Risk,0.059469218090427885,0.023407411553963278,7
MovieLens 20M,SequentialTransition,Champions,0.15342297036966063,0.028312495632465132,474
MovieLens 20M,SequentialTransition,Loyal,0.1655957495239212,0.03096286839580271,776
MovieLens 20M,SequentialTransition,Potential,0.15492964067286455,0.03280405477351838,243
MovieLens 20M,TFIDF_Content,At Risk,0.02563958644083105,0.008928571428571428,7
MovieLens 20M,TFIDF_Content,Champions,0.058209135670689596,0.01079245689437614,474
MovieLens 20M,TFIDF_Content,Loyal,0.04701379578020664,0.008864801999302742,776
MovieLens 20M,TFIDF_Content,Potential,0.03583036254606013,0.007584562262761535,243
MovieLens 20M,TruncatedSVD,At Risk,0.0964880036508234,0.027736415882967606,7
MovieLens 20M,TruncatedSVD,Champions,0.19511652412312255,0.03634851007860616,474
MovieLens 20M,TruncatedSVD,Loyal,0.1743064332386519,0.033540563460327695,776
MovieLens 20M,TruncatedSVD,Potential,0.18042515296829117,0.04043585182357321,243
