dataset,algorithm,topk,ndcg_exc,ndcg_inc,recall_exc,recall_inc,precision_exc,precision_inc,map_exc,map_inc,ndcg_gap,recall_gap,precision_gap,map_gap
MovieLens 20M,HybridFeatureRerank,5,0.212,0.0013,0.0207,0.0002,0.2037,0.0016,0.1329,0.0005,-0.2107,-0.0205,-0.2021,-0.1324
MovieLens 20M,HybridFeatureRerank,10,0.1977,0.003,0.0385,0.001,0.1871,0.0039,0.0976,0.0007,-0.1947,-0.0375,-0.1832,-0.0969
MovieLens 20M,HybridFeatureRerank,20,0.1793,0.0057,0.0683,0.0037,0.1662,0.0073,0.0701,0.0008,-0.1736,-0.0646,-0.1589,-0.0693
MovieLens 20M,Hybrid_NoCollaborativeAblation,5,0.0604,0.0136,0.0061,0.0013,0.0608,0.0147,0.0301,0.006,-0.0468,-0.0048,-0.0461,-0.0241
MovieLens 20M,Hybrid_NoCollaborativeAblation,10,0.0575,0.0178,0.011,0.004,0.0563,0.0202,0.0201,0.0049,-0.0397,-0.007,-0.0361,-0.0152
MovieLens 20M,Hybrid_NoCollaborativeAblation,20,0.0545,0.0214,0.0205,0.0093,0.0526,0.0242,0.0135,0.0038,-0.0331,-0.0112,-0.0284,-0.0097
MovieLens 20M,Hybrid_NoContentAblation,5,0.2151,0.0018,0.0207,0.0003,0.2057,0.002,0.1357,0.0007,-0.2133,-0.0204,-0.2037,-0.135
MovieLens 20M,Hybrid_NoContentAblation,10,0.2,0.0034,0.0387,0.0011,0.1886,0.0043,0.0996,0.0009,-0.1966,-0.0376,-0.1843,-0.0987
MovieLens 20M,Hybrid_NoContentAblation,20,0.1828,0.0073,0.0695,0.0048,0.1699,0.0094,0.0718,0.001,-0.1755,-0.0647,-0.1605,-0.0708
MovieLens 20M,Popularity,5,0.1559,0.0601,0.0152,0.0065,0.1528,0.0596,0.0964,0.0326,-0.0958,-0.0087,-0.0932,-0.0638
MovieLens 20M,Popularity,10,0.1436,0.061,0.0268,0.0132,0.1367,0.0612,0.0702,0.0239,-0.0826,-0.0136,-0.0755,-0.0463
MovieLens 20M,Popularity,20,0.1325,0.059,0.0488,0.0248,0.1245,0.0583,0.05,0.0167,-0.0735,-0.024,-0.0662,-0.0333
MovieLens 20M,SequentialTransition,5,0.1706,0.0701,0.0168,0.0076,0.1657,0.0688,0.1044,0.0381,-0.1005,-0.0092,-0.0969,-0.0663
MovieLens 20M,SequentialTransition,10,0.1595,0.0679,0.0304,0.0145,0.1523,0.0665,0.0766,0.0264,-0.0916,-0.0159,-0.0858,-0.0502
MovieLens 20M,SequentialTransition,20,0.1456,0.0663,0.0539,0.0281,0.1361,0.0649,0.0549,0.0187,-0.0793,-0.0258,-0.0712,-0.0362
MovieLens 20M,TFIDF_Content,5,0.0509,0.0212,0.0047,0.002,0.0496,0.022,0.026,0.0098,-0.0297,-0.0027,-0.0276,-0.0162
MovieLens 20M,TFIDF_Content,10,0.0486,0.0222,0.0093,0.0043,0.0469,0.0231,0.0171,0.0068,-0.0264,-0.005,-0.0238,-0.0103
MovieLens 20M,TFIDF_Content,20,0.0469,0.0238,0.0176,0.0096,0.0454,0.0249,0.0114,0.0047,-0.0231,-0.008,-0.0205,-0.0067
MovieLens 20M,TruncatedSVD,5,0.1931,0.0017,0.0188,0.0002,0.1847,0.0017,0.1183,0.0008,-0.1914,-0.0186,-0.183,-0.1175
MovieLens 20M,TruncatedSVD,10,0.1815,0.0033,0.0355,0.0008,0.1723,0.0041,0.0864,0.0008,-0.1782,-0.0347,-0.1682,-0.0856
MovieLens 20M,TruncatedSVD,20,0.1664,0.0072,0.0639,0.0044,0.1555,0.0093,0.0618,0.0011,-0.1592,-0.0595,-0.1462,-0.0607
